tamanio							|   10	 |    20   |   30	 |   40   |   50   |   60   |   70	 |    80  |
Americano Iterativo [estatico]  |  34000 |   29200 |   33700 |  11100 |  29500 |  30500 |   9700 |  25500 |
Americano Iterativo [dinamico]  | 506600 |  182400 |  112400 | 113500 | 107300 |  78300 | 141500 |  66300 |
Americano Recursivo [estatico]  |  13300 |   53400 |  480200 |   7200 |   3900 |   3900 |   2600 |   3900 |
Americano Recursivo [dinamico]  |  41700 |   29400 |   69200 |  26900 |  13100 |  11500 |  12800 |  14800 |
Inglesa Iterativo [estatico]    |  23400 |   18700 |   18700 |   6900 |   4200 |   4200 |  19100 |  24600 |
Inglesa Iterativo [dinamico]    |  61500 |   35700 |  421200 |  12500 |  23600 |  41900 |  55600 |  33200 |
Inglesa Recursivo [estatico]    |  56500 |   49000 |   51500 |  52300 |  48200 |  49200 |  44800 |  54800 |
Inglesa Recursivo [dinamico]    |  78800 |   52800 | 1366500 | 178900 |  90000 | 159400 | 416300 | 161700 |
Rusa                            |  37100 |   36000 |    5800 |  52100 |  33300 |   8100 |   9300 |  10000 |
Hindu                           |  70600 |    7500 |    6200 |   6500 |   6700 |   6500 |   6400 |  13600 |
Egipcia                         |  28000 |    8600 |    8200 |   5200 |   5000 |   5000 |  24400 |   8500 |
Karatsuba                       | 257000 | 1069900 |  453000 | 136700 |  97800 |  65300 |  46700 |  38500 |
Representado Cadena             |   9200 |   10300 |    9600 |  50700 |  27400 |   9100 |   9600 |  19000 |
Divide y Venceras-I             | 303900 |   70400 |   68400 |  91900 |  74100 |  72500 |  92000 | 134700 |
Divide y Venceras-II            |  40400 |   26000 |   29400 |  28500 |   6000 |  27600 |  28000 |  12700 |

